year,rank,title,artist,title_clean,artist_clean,primary_artist,spotify_id,spotify_title,spotify_artist,spotify_album,album_type,release_date,release_date_precision,popularity,explicit,duration_ms,disc_number,track_number,isrc,spotify_url,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_features_available
2010,12,"""I Like It""",Enrique Iglesias featuring Pitbull,i like it,enrique iglesias featuring pitbull,enrique iglesias,7HacCTm33hZYYN8DXpCYuG,I Like It,"Enrique Iglesias, Pitbull",Euphoria,album,2010,year,77,False,231373,1,2,GBUM71003038,https://open.spotify.com/track/7HacCTm33hZYYN8DXpCYuG,,,,,,,,,,,,,,False
2010,13,"""BedRock""",Young Money featuring Lloyd,bedrock,young money featuring lloyd,young money,4ls15lRd7NUG8cjgsNjMYO,BedRock,"Young Money, Lloyd",Pink Friday (Complete Edition),album,2010-11-22,day,49,True,289466,1,20,USCM50901178,https://open.spotify.com/track/4ls15lRd7NUG8cjgsNjMYO,,,,,,,,,,,,,,False
2010,14,"""In My Head""",Jason Derulo,in my head,jason derulo,jason derulo,5BoIP8Eha5hwmRVURkC2Us,In My Head,Jason Derulo,Jason Derulo,album,2010-02-24,day,70,False,198960,1,3,USWB10904633,https://open.spotify.com/track/5BoIP8Eha5hwmRVURkC2Us,,,,,,,,,,,,,,False
2010,15,"""Rude Boy""",Rihanna,rude boy,rihanna,rihanna,7zHBoHazERaBmzWBEkuYcZ,Rude Boy - Chew Fu Bumbaclot Fix Extended,Rihanna,Rude Boy (The Remixes),single,2010-01-01,day,6,False,397240,1,3,USUM71004668,https://open.spotify.com/track/7zHBoHazERaBmzWBEkuYcZ,,,,,,,,,,,,,,False
2010,16,"""Telephone""",Lady Gaga featuring Beyoncé,telephone,lady gaga featuring beyoncé,lady gaga,79FJ0n0Csxoed8DtlVAcuF,Telephone - Kaskade Radio Remix,"Lady Gaga, Beyoncé",Telephone (The DJ Remixes),single,2010-01-26,day,30,False,222960,1,5,USUM71003318,https://open.spotify.com/track/79FJ0n0Csxoed8DtlVAcuF,,,,,,,,,,,,,,False
2010,17,"""Teenage Dream""",Katy Perry,teenage dream,katy perry,katy perry,5jzKL4BDMClWqRguW5qZvh,Teenage Dream,Katy Perry,Teenage Dream,album,2010-01-01,day,78,False,227741,1,1,USCA21001255,https://open.spotify.com/track/5jzKL4BDMClWqRguW5qZvh,,,,,,,,,,,,,,False
2010,18,"""Just the Way You Are""",Bruno Mars,just the way you are,bruno mars,bruno mars,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,album,2010-05-11,day,88,False,220734,1,2,USAT21001269,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,,,,,,,,,,,,,,False
2010,19,"""Cooler Than Me""",Mike Posner,cooler than me,mike posner,mike posner,2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",31 Minutes to Takeoff,album,2010-08-09,day,82,False,213293,1,4,USJAY1000035,https://open.spotify.com/track/2V4bv1fNWfTcyRJKmej6Sj,,,,,,,,,,,,,,False
2010,20,"""Imma Be""",The Black Eyed Peas,imma be,the black eyed peas,the black eyed peas,4JFgvMTnStGi5xcjUDFkZE,Imma Be,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),compilation,2010-01-01,day,32,True,257600,2,4,USUM70967900,https://open.spotify.com/track/4JFgvMTnStGi5xcjUDFkZE,,,,,,,,,,,,,,False
2010,22,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,dj got us fallin' in love,usher featuring pitbull,usher,4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",Raymond v Raymond (Expanded Edition),album,2010-03-30,day,87,False,220800,1,16,USLF21000041,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn,,,,,,,,,,,,,,False
2010,23,"""Billionaire""",Travie McCoy featuring Bruno Mars,billionaire,travie mccoy featuring bruno mars,travie mccoy,2qPUnoasNe4Ep43emVXEig,Billionaire (feat. Bruno Mars),"Travie McCoy, Bruno Mars",Lazarus,album,2010-06-07,day,80,True,211160,1,3,USAT21000257,https://open.spotify.com/track/2qPUnoasNe4Ep43emVXEig,,,,,,,,,,,,,,False
2010,24,"""Not Afraid""",Eminem,not afraid,eminem,eminem,7Ie9W94M7OjPoZVV216Xus,Not Afraid,Eminem,Recovery,album,2010-06-18,day,82,True,248133,1,7,USUM71011769,https://open.spotify.com/track/7Ie9W94M7OjPoZVV216Xus,,,,,,,,,,,,,,False
2010,26,"""Sexy Bitch""",David Guetta featuring Akon,sexy bitch,david guetta featuring akon,david guetta,2dGxjfhFXDIUX9h5ImyKkE,Sexy Bitch (feat. Akon),"David Guetta, Akon",One More Love,album,2010-11-22,day,83,True,195853,1,3,FRZID0900500,https://open.spotify.com/track/2dGxjfhFXDIUX9h5ImyKkE,,,,,,,,,,,,,,False
2010,27,"""Breakeven""",The Script,breakeven,the script,the script,285hMzLhJwHVLe9QT9qilk,Breakeven,The Script,The Script,album,2008-07-14,day,84,False,261426,1,5,GBARL0800147,https://open.spotify.com/track/285hMzLhJwHVLe9QT9qilk,,,,,,,,,,,,,,False
2010,28,"""Your Love Is My Drug""",Kesha,your love is my drug,kesha,kesha,6vc2Jq2vaGu8z326kSrw92,Your Love Is My Drug,Kesha,Animal (Expanded Edition),album,2010-01-01,day,80,False,187133,1,1,USRC10900735,https://open.spotify.com/track/6vc2Jq2vaGu8z326kSrw92,,,,,,,,,,,,,,False
2010,29,"""I Gotta Feeling""",The Black Eyed Peas,i gotta feeling,the black eyed peas,the black eyed peas,2JhztMNW2Pkcj8KQ3ZuBfK,I Gotta Feeling,Black Eyed Peas,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),compilation,2010-01-01,day,45,False,289186,2,2,USUM70965169,https://open.spotify.com/track/2JhztMNW2Pkcj8KQ3ZuBfK,,,,,,,,,,,,,,False
2010,30,"""Fireflies""",Owl City,fireflies,owl city,owl city,5WkWshzEWBlBmtoxdgwddB,Fireflies - Karaoke Mix,Owl City,Fireflies (Karaoke Mix),single,2010-01-01,day,16,False,230893,1,1,USUM71001791,https://open.spotify.com/track/5WkWshzEWBlBmtoxdgwddB,,,,,,,,,,,,,,False
2010,31,"""Say Aah""",Trey Songz featuring Fabolous,say aah,trey songz featuring fabolous,trey songz,5G2oBm45yLpiJ59sRAuRLt,Say Aah - Unplugged,Trey Songz,MTV Unplugged,album,2010-07-06,day,15,False,257053,1,7,USAT21001316,https://open.spotify.com/track/5G2oBm45yLpiJ59sRAuRLt,,,,,,,,,,,,,,False
2010,32,"""Find Your Love""",Drake,find your love,drake,drake,4BycRneKmOs6MhYG9THsuX,Find Your Love,Drake,Thank Me Later,album,2010-01-01,day,71,False,208946,1,13,USCM51000166,https://open.spotify.com/track/4BycRneKmOs6MhYG9THsuX,,,,,,,,,,,,,,False
2010,33,"""Alejandro""",Lady Gaga,alejandro,lady gaga,lady gaga,3u2ozXPEYxdGBnTdIax1AJ,Alejandro - Skrillex Remix,"Lady Gaga, Skrillex",Alejandro,single,2010-04-20,day,37,False,348853,1,4,USUM71013838,https://open.spotify.com/track/3u2ozXPEYxdGBnTdIax1AJ,,,,,,,,,,,,,,False
2010,34,"""Ridin' Solo""",Jason Derulo,ridin' solo,jason derulo,jason derulo,6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,Jason Derulo,Jason Derulo,album,2010-02-24,day,70,False,215746,1,2,USWB10905329,https://open.spotify.com/track/6BaxqcoEM9r3LXisTyJjST,,,,,,,,,,,,,,False
2010,35,"""Just a Dream""",Nelly,just a dream,nelly,nelly,3ZdJffjzJWFimSQyxgGIxN,Just A Dream,Nelly,5.0,album,2010-11-12,day,81,False,237800,1,4,USUM71020948,https://open.spotify.com/track/3ZdJffjzJWFimSQyxgGIxN,,,,,,,,,,,,,,False
2010,36,"""How Low""",Ludacris,how low,ludacris,ludacris,1WtTLtofvcjQM3sXSMkDdX,How Low,Ludacris,Battle Of The Sexes (Deluxe),album,2010-01-01,day,66,True,201586,1,2,USUM70913041,https://open.spotify.com/track/1WtTLtofvcjQM3sXSMkDdX,,,,,,,,,,,,,,False
2010,37,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,like a g6,far east movement featuring the cataracs and dev,far east movement,4DvhkX2ic4zWkQeWMwQ2qf,Like A G6,"Far East Movement, The Cataracs, DEV",Free Wired,album,2010-01-01,day,74,False,216893,1,2,USUM71008138,https://open.spotify.com/track/4DvhkX2ic4zWkQeWMwQ2qf,,,,,,,,,,,,,,False
2010,38,"""Carry Out""",Timbaland featuring Justin Timberlake,carry out,timbaland featuring justin timberlake,timbaland,6mqj4Ilk3mAGEoFUjRVYSK,Carry Out - Manon Dave Remix,Timbaland,Carry Out (Feat. Justin Timberlake),single,2009-02-22,day,45,False,237582,1,1,SEYOK0996097,https://open.spotify.com/track/6mqj4Ilk3mAGEoFUjRVYSK,,,,,,,,,,,,,,False
2010,39,"""Haven't Met You Yet""",Michael Bublé,haven't met you yet,michael bublé,michael bublé,6v9PqbTUUyZ0nlfs5dXrfb,Haven't Met You Yet - Jason Nevins Radio Edit,Michael Bublé,Haven't Met You Yet,single,2010-08-16,day,14,False,206936,1,3,USRE11000635,https://open.spotify.com/track/6v9PqbTUUyZ0nlfs5dXrfb,,,,,,,,,,,,,,False
2010,40,"""Club Can't Handle Me""",Flo Rida featuring David Guetta,club can't handle me,flo rida featuring david guetta,flo rida,0xcl9XT60Siji6CSG4y6nb,Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,Flo Rida,Club Can't Handle Me,single,2010-06-28,day,60,False,232615,1,1,USAT21001208,https://open.spotify.com/track/0xcl9XT60Siji6CSG4y6nb,,,,,,,,,,,,,,False
2010,41,"""Down""",Jay Sean featuring Lil Wayne,down,jay sean featuring lil wayne,jay sean,1ZpwOacvytCftXERFsPB63,Down - W/O Rap Edit,Jay Sean,Down,single,2010-01-01,day,39,False,196133,1,1,USCM50900095,https://open.spotify.com/track/1ZpwOacvytCftXERFsPB63,,,,,,,,,,,,,,False
2010,42,"""Bulletproof""",La Roux,bulletproof,la roux,la roux,63g8aJLOsH1z55WEawTBlU,Bulletproof - Live at Shepherds Bush,La Roux,The Gold EP,single,2010-01-01,day,3,False,326373,1,1,GBUM71000147,https://open.spotify.com/track/63g8aJLOsH1z55WEawTBlU,,,,,,,,,,,,,,False
2010,43,"""Whatcha Say""",Jason Derulo,whatcha say,jason derulo,jason derulo,67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,Jason Derulo,album,2010-02-24,day,73,False,221253,1,1,USWB10901504,https://open.spotify.com/track/67T6l4q3zVjC5nZZPXByU8,,,,,,,,,,,,,,False
2010,44,"""Baby""",Justin Bieber featuring Ludacris,baby,justin bieber featuring ludacris,justin bieber,0RJC486bAmd4ElLbGgXmWk,Baby - Acoustic Version,Justin Bieber,My Worlds Acoustic,album,2010-01-01,day,37,False,215453,1,2,USUM71027043,https://open.spotify.com/track/0RJC486bAmd4ElLbGgXmWk,,,,,,,,,,,,,,False
